,FinalType,Competitors,NOC,Time,500 m,"1,000 m","1,500 m","500-1,000 m","1,000-1,500 m","1,500-2,000 m",Rank,Boat,Year,City
0,Final A,East Germany,GDR,5:49.81,1:24.43,2:53.31,4:21.61,1:28.88,1:28.30,1:28.20,1,M4x,1980,Moskva
2,Final A,Soviet Union,URS,5:51.47,1:23.40,2:51.90,4:22.05,1:28.50,1:30.15,1:29.42,2,M4x,1980,Moskva
4,Final A,Bulgaria,BUL,5:52.38,1:23.79,2:55.26,4:25.29,1:31.47,1:30.03,1:27.09,3,M4x,1980,Moskva
6,Final A,France,FRA,5:53.45,1:24.79,2:54.99,4:24.72,1:30.20,1:29.73,1:28.73,4,M4x,1980,Moskva
8,Final A,Spain,ESP,6:01.19,1:25.83,2:57.17,4:28.43,1:31.34,1:31.26,1:32.76,5,M4x,1980,Moskva
10,Final A,Yugoslavia,YUG,6:10.76,1:25.32,2:57.48,4:32.16,1:32.16,1:34.68,1:38.60,6,M4x,1980,Moskva
0,Final B,Poland,POL,5:58.63,1:26.03,2:55.41,4:27.32,1:29.38,1:31.91,1:31.31,7,M4x,1980,Moskva
2,Final B,Netherlands,NED,6:02.58,1:26.85,2:58.50,4:32.38,1:31.65,1:33.88,1:30.20,8,M4x,1980,Moskva
4,Final B,Denmark,DEN,6:05.38,1:27.49,2:59.76,4:32.70,1:32.27,1:32.94,1:32.68,9,M4x,1980,Moskva
6,Final B,Austria,AUT,6:06.27,1:28.31,3:01.65,4:35.69,1:33.34,1:34.04,1:30.58,10,M4x,1980,Moskva
8,Final B,Brazil,BRA,6:06.58,1:29.22,3:02.73,4:36.94,1:33.51,1:34.21,1:29.64,11,M4x,1980,Moskva
10,Final B,Cuba,CUB,6:16.65,1:28.86,3:03.96,4:41.62,1:35.10,1:37.66,1:35.03,12,M4x,1980,Moskva
0,Final A,West Germany,FRG,5:57.55,1:27.23,2:59.24,4:30.30,1:32.01,1:31.06,1:27.25,1,M4x,1984,California
2,Final A,Australia,AUS,5:57.98,1:26.56,2:57.36,4:28.83,1:30.80,1:31.47,1:29.15,2,M4x,1984,California
4,Final A,Canada,CAN,5:59.07,1:29.00,3:00.45,4:30.51,1:31.45,1:30.06,1:28.56,3,M4x,1984,California
6,Final A,Italy,ITA,6:00.94,1:28.46,2:59.89,4:31.64,1:31.43,1:31.75,1:29.30,4,M4x,1984,California
8,Final A,France,FRA,6:01.35,1:29.44,3:01.82,4:33.37,1:32.38,1:31.55,1:27.98,5,M4x,1984,California
10,Final A,Spain,ESP,6:04.99,1:27.90,3:00.26,4:33.03,1:32.36,1:32.77,1:31.96,6,M4x,1984,California
0,Final B,United States,USA,6:11.50,1:32.47,3:07.02,4:41.35,1:34.55,1:34.33,1:30.15,7,M4x,1984,California
2,Final B,Norway,NOR,6:12.18,1:34.63,3:08.49,4:42.11,1:33.86,1:33.62,1:30.07,8,M4x,1984,California
4,Final B,Netherlands,NED,6:12.41,1:32.09,3:08.13,4:43.77,1:36.04,1:35.64,1:28.64,9,M4x,1984,California
6,Final B,Argentina,ARG,6:32.52,1:33.80,3:14.36,4:53.84,1:40.56,1:39.48,1:38.68,10,M4x,1984,California
0,Final A,Italy,ITA,5:53.37,1:26.53,2:54.80,4:24.48,1:28.27,1:29.68,1:28.89,1,M4x,1988,Hanam
2,Final A,Norway,NOR,5:55.08,1:28.85,2:58.34,4:29.10,1:29.49,1:30.76,1:25.98,2,M4x,1988,Hanam
4,Final A,East Germany,GDR,5:56.13,1:26.23,2:56.48,4:28.40,1:30.25,1:31.92,1:27.73,3,M4x,1988,Hanam
6,Final A,Soviet Union,URS,5:57.18,1:26.83,2:56.22,4:27.46,1:29.39,1:31.24,1:29.72,4,M4x,1988,Hanam
8,Final A,Australia,AUS,5:59.15,1:29.30,2:59.16,4:33.31,1:29.86,1:34.15,1:25.84,5,M4x,1988,Hanam
10,Final A,West Germany,FRG,5:59.59,1:28.04,2:58.77,4:30.98,1:30.73,1:32.21,1:28.61,6,M4x,1988,Hanam
0,Final B,Poland,POL,5:55.39,1:25.38,2:54.96,4:26.66,1:29.58,1:31.70,1:28.73,7,M4x,1988,Hanam
2,Final B,Netherlands,NED,5:55.72,1:24.97,2:54.58,4:27.03,1:29.61,1:32.45,1:28.69,8,M4x,1988,Hanam
4,Final B,Canada,CAN,5:58.06,1:24.62,2:52.99,4:25.98,1:28.37,1:32.99,1:32.08,9,M4x,1988,Hanam
6,Final B,Hungary,HUN,5:58.37,1:25.74,2:57.70,4:27.86,1:31.96,1:30.16,1:30.51,10,M4x,1988,Hanam
8,Final B,Czechoslovakia,TCH,5:58.70,1:27.02,2:58.16,4:30.37,1:31.14,1:32.21,1:28.33,11,M4x,1988,Hanam
10,Final B,Argentina,ARG,6:04.47,1:26.69,2:55.49,4:31.58,1:28.80,1:36.09,1:32.89,12,M4x,1988,Hanam
0,Final A,Germany,GER,5:45.17,1:25.50,2:52.63,4:19.88,1:27.13,1:27.25,1:25.29,1,M4x,1992,Bañolas
2,Final A,Norway,NOR,5:47.09,1:26.21,2:54.00,4:22.20,1:27.79,1:28.20,1:24.89,2,M4x,1992,Bañolas
4,Final A,Italy,ITA,5:47.33,1:24.92,2:52.67,4:20.73,1:27.75,1:28.06,1:26.60,3,M4x,1992,Bañolas
6,Final A,Switzerland,SUI,5:47.39,1:26.59,2:55.52,4:23.54,1:28.93,1:28.02,1:23.85,4,M4x,1992,Bañolas
8,Final A,Netherlands,NED,5:48.92,1:26.50,2:55.39,4:23.94,1:28.89,1:28.55,1:24.98,5,M4x,1992,Bañolas
10,Final A,France,FRA,5:54.80,1:25.87,2:56.08,4:25.81,1:30.21,1:29.73,1:28.99,6,M4x,1992,Bañolas
0,Final B,Unified Team,EUN,5:54.48,1:25.08,2:53.27,4:24.62,1:28.19,1:31.35,1:29.86,7,M4x,1992,Bañolas
2,Final B,United States,USA,5:55.06,1:26.82,2:56.23,4:26.30,1:29.41,1:30.07,1:28.76,8,M4x,1992,Bañolas
4,Final B,Australia,AUS,5:56.44,1:27.00,2:56.74,4:26.62,1:29.74,1:29.88,1:29.82,9,M4x,1992,Bañolas
6,Final B,Spain,ESP,5:58.33,1:27.44,2:57.54,4:29.15,1:30.10,1:31.61,1:29.18,10,M4x,1992,Bañolas
8,Final B,Poland,POL,6:01.18,1:25.54,2:55.41,4:28.56,1:29.87,1:33.15,1:32.62,11,M4x,1992,Bañolas
10,Final B,Belgium,BEL,6:01.38,1:28.02,2:58.92,4:30.25,1:30.90,1:31.33,1:31.13,12,M4x,1992,Bañolas
0,Final C,Great Britain,GBR,6:08.92,–,–,–,–,–,–,13,M4x,1992,Bañolas
2,Final C,Austria,AUT,6:13.75,–,–,–,–,–,–,14,M4x,1992,Bañolas
4,Final C,Sweden,SWE,6:20.86,–,–,–,–,–,–,15,M4x,1992,Bañolas
0,Final A,Germany,GER,5:56.93,1:26.15,2:54.89,4:26.09,1:28.74,1:31.20,1:30.84,1,M4x,1996,Georgia
2,Final A,United States,USA,5:59.10,1:27.58,2:57.47,4:29.88,1:29.89,1:32.41,1:29.22,2,M4x,1996,Georgia
4,Final A,Australia,AUS,6:01.65,1:28.24,2:59.21,4:32.17,1:30.97,1:32.96,1:29.48,3,M4x,1996,Georgia
6,Final A,Italy,ITA,6:02.12,1:27.07,2:57.72,4:30.42,1:30.65,1:32.70,1:31.70,4,M4x,1996,Georgia
8,Final A,Switzerland,SUI,6:04.52,1:27.95,2:58.78,4:32.70,1:30.83,1:33.92,1:31.82,5,M4x,1996,Georgia
10,Final A,Sweden,SWE,6:07.75,1:28.52,2:59.89,4:33.90,1:31.37,1:34.01,1:33.85,6,M4x,1996,Georgia
0,Final B,Ukraine,UKR,5:53.46,1:26.82,2:55.26,4:24.35,1:28.44,1:29.09,1:29.11,7,M4x,1996,Georgia
2,Final B,Russian Federation,RUS,5:54.98,1:26.46,2:55.01,4:25.51,1:28.55,1:30.50,1:29.47,8,M4x,1996,Georgia
4,Final B,Poland,POL,5:55.10,1:28.98,2:58.05,4:27.49,1:29.07,1:29.44,1:27.61,9,M4x,1996,Georgia
6,Final B,Netherlands,NED,5:55.15,1:28.31,2:57.03,4:27.91,1:28.72,1:30.88,1:27.24,10,M4x,1996,Georgia
8,Final B,Belarus,BLR,5:55.52,1:27.59,2:56.60,4:27.13,1:29.01,1:30.53,1:28.39,11,M4x,1996,Georgia
10,Final B,France,FRA,6:00.48,1:28.71,2:58.31,4:29.92,1:29.60,1:31.61,1:30.56,12,M4x,1996,Georgia
0,Final A,Italy,ITA,5:45.56,1:25.47,2:52.40,4:19.62,1:26.93,1:27.22,1:25.94,1,M4x,2000,NewSouthWales
2,Final A,Netherlands,NED,5:47.91,1:26.03,2:54.12,4:22.33,1:28.09,1:28.21,1:25.58,2,M4x,2000,NewSouthWales
4,Final A,Germany,GER,5:48.64,1:24.77,2:51.65,4:20.32,1:26.88,1:28.67,1:28.32,3,M4x,2000,NewSouthWales
6,Final A,Australia,AUS,5:50.32,1:26.39,2:54.93,4:23.71,1:28.54,1:28.78,1:26.61,4,M4x,2000,NewSouthWales
8,Final A,Switzerland,SUI,5:54.88,1:26.84,2:56.12,4:26.05,1:29.28,1:29.93,1:28.83,5,M4x,2000,NewSouthWales
10,Final A,Ukraine,UKR,5:55.12,1:25.76,2:54.38,4:23.96,1:28.62,1:29.58,1:31.16,6,M4x,2000,NewSouthWales
0,Final B,United States,USA,5:49.76,1:26.01,2:54.40,4:23.00,1:28.39,1:28.60,1:26.76,7,M4x,2000,NewSouthWales
2,Final B,Poland,POL,5:51.79,1:26.19,2:55.65,4:24.32,1:29.46,1:28.67,1:27.47,8,M4x,2000,NewSouthWales
4,Final B,Belgium,BEL,5:54.17,1:27.37,2:57.08,4:26.27,1:29.71,1:29.19,1:27.90,9,M4x,2000,NewSouthWales
6,Final B,France,FRA,5:55.41,1:27.66,2:57.45,4:26.85,1:29.79,1:29.40,1:28.56,10,M4x,2000,NewSouthWales
8,Final B,Austria,AUT,5:57.58,1:27.05,2:58.05,4:28.84,1:31.00,1:30.79,1:28.74,11,M4x,2000,NewSouthWales
10,Final B,Cuba,CUB,6:00.63,1:26.74,2:57.74,4:29.32,1:31.00,1:31.58,1:31.31,12,M4x,2000,NewSouthWales
0,Final A,Russian Federation,RUS,5:56.85,1:25.79,2:56.94,4:27.42,1:31.15,1:30.48,1:29.43,1,M4x,2004,SchiniasNationalPark
2,Final A,Czech Republic,CZE,5:57.43,1:25.49,2:56.65,4:28.52,1:31.16,1:31.87,1:28.91,2,M4x,2004,SchiniasNationalPark
