,Boat,Time,Country,Rank,Date,FinalType,Year,City
0,JM4+,4:45.80,BUL,1,1980-08-17 00:00:00,FA,1980,Hazewinkel
1,JM4+,4:46.41,RFA,2,1980-08-17 00:00:00,FA,1980,Hazewinkel
2,JM4+,4:46.91,RDA,3,1980-08-17 00:00:00,FA,1980,Hazewinkel
3,JM4+,4:48.00,URS,4,1980-08-17 00:00:00,FA,1980,Hazewinkel
4,JM4+,4:55.34,GRE,5,1980-08-17 00:00:00,FA,1980,Hazewinkel
5,JM4+,5:03.29,AUS,6,1980-08-17 00:00:00,FA,1980,Hazewinkel
6,JM4+,4:57.52,ITA,1,1980-08-17 00:00:00,FB,1980,Hazewinkel
7,JM4+,4:59.17,GBR,2,1980-08-17 00:00:00,FB,1980,Hazewinkel
8,JM4+,5:01.54,IRL,3,1980-08-17 00:00:00,FB,1980,Hazewinkel
9,JM4+,5:02.33,YOU,4,1980-08-17 00:00:00,FB,1980,Hazewinkel
10,JM4+,5:03.82,HOL,5,1980-08-17 00:00:00,FB,1980,Hazewinkel
11,JM4+,5:05.40,BEL,6,1980-08-17 00:00:00,FB,1980,Hazewinkel
12,JM4-,4:37.19,URS,1,1980-08-17 00:00:00,FA,1980,Hazewinkel
13,JM4-,4:40.90,RDA,2,1980-08-17 00:00:00,FA,1980,Hazewinkel
14,JM4-,4:43.11,RFA,3,1980-08-17 00:00:00,FA,1980,Hazewinkel
15,JM4-,4:47.08,ITA,4,1980-08-17 00:00:00,FA,1980,Hazewinkel
16,JM4-,4:47.76,CAN,5,1980-08-17 00:00:00,FA,1980,Hazewinkel
17,JM4-,4:48.85,GBR,6,1980-08-17 00:00:00,FA,1980,Hazewinkel
18,JM4-,4:51.18,DAN,1,1980-08-17 00:00:00,FB,1980,Hazewinkel
19,JM4-,4:52.97,USA,2,1980-08-17 00:00:00,FB,1980,Hazewinkel
20,JM4-,4:54.17,TCH,3,1980-08-17 00:00:00,FB,1980,Hazewinkel
21,JM4-,4:55.44,BEL,4,1980-08-17 00:00:00,FB,1980,Hazewinkel
22,JM4-,4:55.62,SUI,5,1980-08-17 00:00:00,FB,1980,Hazewinkel
23,JM4-,4:59.00,FIN,6,1980-08-17 00:00:00,FB,1980,Hazewinkel
24,JM4x,4:24.71,URS,1,1980-08-17 00:00:00,FA,1980,Hazewinkel
25,JM4x,4:27.12,FRA,2,1980-08-17 00:00:00,FA,1980,Hazewinkel
26,JM4x,4:30.06,RDA,3,1980-08-17 00:00:00,FA,1980,Hazewinkel
27,JM4x,4:31.44,NOR,4,1980-08-17 00:00:00,FA,1980,Hazewinkel
28,JM4x,4:32.40,RFA,5,1980-08-17 00:00:00,FA,1980,Hazewinkel
29,JM4x,4:35.28,ESP,6,1980-08-17 00:00:00,FA,1980,Hazewinkel
30,JM4x,4:31.91,POL,1,1980-08-17 00:00:00,FB,1980,Hazewinkel
31,JM4x,4:34.89,HOL,2,1980-08-17 00:00:00,FB,1980,Hazewinkel
32,JM4x,4:37.29,HON,3,1980-08-17 00:00:00,FB,1980,Hazewinkel
33,JM4x,4:37.46,YOU,4,1980-08-17 00:00:00,FB,1980,Hazewinkel
34,JM4x,4:38.60,ITA,5,1980-08-17 00:00:00,FB,1980,Hazewinkel
35,JM4x,4:41.00,AUT,6,1980-08-17 00:00:00,FB,1980,Hazewinkel
36,JM8+,4:17.32,URS,1,1980-08-17 00:00:00,FA,1980,Hazewinkel
37,JM8+,4:19.43,RDA,2,1980-08-17 00:00:00,FA,1980,Hazewinkel
